plant.h,block,treatment,position,source.pop,source pop number,source.fam,field.greenhouse,first.flower,rosette.diameter,height,leaf.length,SLA,branch.length,internode.number,internode.length,biomass,seeds.per.fruit ,fruits
531,15,ho,3,ERH,1,ERH19,F,105,27.00,13,15.705,32.4503,69,9,7.66666666666667,n/a,4.6,79
532,15,ho,4,SCH,11,SCH16,G,113,38.67,13,27.345,28.6691,70,9,7.77777777777778,3.34,4.25,81
533,15,ho,5,ILH,4,ILH8,G,99,29.33,20,19.58,32.7225,78,9,8.66666666666667,2.56,5,66
534,15,ho,6,ERH,1,ERH16,F,105,29.00,7,17.688,26.5375,54,10,5.4,3.20,4.8,98
535,15,ho,1,NBL,7,NBL5,F,113,27.00,12,15.868,33.5485,77,9,8.55555555555556,n/a,4.6,38
536,15,ho,2,NBL,7,NBL12,F,105,21.00,11,13.314,30.3627,76,10,7.6,n/a,5,59
537,15,ho,3,WKL,16,WKL12,F,105,25.67,13,18.579,38.7227,79,10,7.9,n/a,5,72
538,15,ho,4,NBL,7,NBL2,F,105,24.00,15,13.724,33.3299,72,8,9,n/a,5,71
539,15,ho,5,PWL,10,PWL4,G,113,26.00,10,15.238,35.0911,76,11,6.90909090909091,2.90,5,91
540,15,ho,6,NBL,7,NBL19,F,105,23.67,10,12.53,23.4622,57,10,5.7,2.57,4.8,99
541,16,c,1,SCH,11,SCH16,G,113,29.00,8,16.889,27.4752,66,11,6,3.89,4.6,86
542,16,c,2,ERH,1,ERH16,F,105,24.33,10,10.971,33.4972,55,9,6.11111111111111,3.08,4.8,68
543,16,c,3,ERH,1,ERH4,F,105,28.33,8,14.092,28.9094,66,9,7.33333333333333,3.18,4.2,86
544,16,c,4,SCH,11,SCH1,F,105,24.33,12,13.938,23.6072,67,11,6.09090909090909,n/a,4.8,80
545,16,c,5,SSH,15,SSH10,G,105,19.00,10,10.821,32.8754,71,9,7.88888888888889,2.98,5,50
546,16,c,6,SSH,15,SSH5,G,92,19.67,9,10.927,26.7500,88,10,8.8,n/a,5,51
547,16,c,1,MLL,6,MLL2,G,92,19.67,14,11.197,32.0825,84,10,8.4,3.45,5,94
548,16,c,2,SHL,13,SHL12,G,105,19.33,7,10.981,29.3983,68,10,6.8,2.07,5,75
549,16,c,3,MHL,5,MHL4,F,99,22.00,11,11.693,33.1214,70,10,7,1.98,4.6,84
550,16,c,4,PWL,10,PWL5,G,105,21.00,10,11.877,26.9789,77,10,7.7,2.30,4.6,81
551,16,c,5,PWL,10,PWL1,G,99,20.67,8,12.036,27.9746,70,10,7,2.65,5,65
552,16,c,6,SHL2,14,SHL28,F,99,18.33,6,9.497,24.6497,54,9,6,1.61,5,64
553,16,he,1,SSH,15,SSH10,G,113,37.67,18,17.758,34.4556,84,10,8.4,2.86,4.8,100
554,16,he,2,SSH,15,SSH5,G,113,29.67,14,15.194,37.2984,96,9,10.6666666666667,2.95,5,86
555,16,he,3,ERH,1,ERH16,F,113,33.00,11,18.723,37.6172,n/a,n/a,n/a,2.85,4.8,73
556,16,he,4,SCH,11,SCH1,F,113,28.67,13,15.548,35.8960,61,11,5.54545454545455,2.78,4.4,68
557,16,he,5,ERH,1,ERH4,F,113,26.67,18,15.496,42.8893,77,10,7.7,3.24,4.2,83
558,16,he,6,SCH,11,SCH16,G,113,30.33,10,19.623,28.8110,63,11,5.72727272727273,3.42,4.4,88
559,16,he,1,MLL,6,MLL2,G,113,26.33,18,19.098,40.0828,83,10,8.3,2.99,5,91
560,16,he,2,SHL2,14,SHL28,F,121,31.67,17,15.959,35.6160,79,10,7.9,2.40,5,44
561,16,he,3,SHL,13,SHL12,G,121,28.67,11,14.897,34.0734,79,11,7.18181818181818,2.84,4.4,68
562,16,he,4,MHL,5,MHL4,F,105,28.67,16,15.75,42.8635,80,10,8,2.82,5,93
563,16,he,5,PWL,10,PWL1,G,121,24.00,13,15.859,32.3977,73,10,7.3,2.43,5,82
564,16,he,6,PWL,10,PWL5,G,113,22.00,6,12.811,22.3826,71,9,7.88888888888889,2.66,4.8,65
565,16,ho,1,SCH,11,SCH1,F,113,26.00,15,14.725,42.4932,71,11,6.45454545454545,3.52,5,54
566,16,ho,2,SSH,15,SSH5,G,105,30.00,21,19.413,39.0594,78,10,7.8,2.55,5,74
567,16,ho,3,ERH,1,ERH16,F,113,29.67,8,14.794,30.5787,56,9,6.22222222222222,2.57,5,81
568,16,ho,4,SCH,11,SCH16,G,113,39.00,12,20.299,40.7739,74,10,7.4,3.49,4.8,71
569,16,ho,5,ERH,1,ERH4,F,121,29.67,18,19.272,38.1158,93,10,9.3,3.13,5,61
570,16,ho,6,SSH,15,SSH10,G,113,23.67,6,11.447,21.7099,47,10,4.7,n/a,5,53
571,16,ho,1,MHL,5,MHL4,F,99,30.33,13,17.81,39.6891,81,9,9,2.86,5,92
572,16,ho,2,PWL,10,PWL1,G,105,24.67,8,12.691,36.0535,63,9,7,3.25,5,73
573,16,ho,3,MLL,6,MLL2,G,99,29.67,16,19.58,36.3333,82,10,8.2,3.20,4.8,107
574,16,ho,4,PWL,10,PWL5,G,105,28.33,17,16.196,34.9319,67,9,7.44444444444444,2.65,5,77
575,16,ho,5,SHL,13,SHL12,G,105,26.33,9,13.956,34.6806,72,10,7.2,2.41,4.6,86
576,16,ho,6,SHL2,14,SHL28,F,113,23.00,5,11.608,27.0745,59,10,5.9,2.10,4.4,81
577,17,c,1,SSH,15,SSH6,G,92,19.00,6,7.764,38.2945,67,9,7.44444444444444,2.05,4.8,82
578,17,c,2,SCH,11,SCH19,G,113,20.67,4,15.225,32.5665,68,10,6.8,3.27,5,65
579,17,c,3,ERH,1,ERH17,F,113,24.67,5,16.109,40.6585,80,9,8.88888888888889,2.62,4.6,51
580,17,c,4,SCH,11,SCH17,G,105,20.00,8,15.943,47.6209,72,9,8,2.35,5,66
581,17,c,5,SCH,11,SCH8,F,113,28.33,11,17.14,36.0315,69,10,6.9,3.34,4.2,104
582,17,c,6,ERH,1,ERH10,F,105,20.00,5,13.86,32.9768,46,9,5.11111111111111,2.26,5,61
583,17,c,1,MHL,5,MHL11,F,92,18.00,4,9.989,36.2654,68,9,7.55555555555556,1.88,4.4,93
584,17,c,2,MHL,5,MHL8,F,92,23.67,8.5,14.76,42.8746,76,8,9.5,2.15,5,70
585,17,c,3,SHL,13,SHL12,G,99,18.33,5,9.38,31.4432,72,10,7.2,2.26,5,83
586,17,c,4,SHL2,14,SHL218,F,99,23.00,8,9.225,60.7822,69,10,6.9,2.63,5,96
587,17,c,5,SHL2,14,SHL21,F,105,19.67,10,11.024,32.9034,67,9,7.44444444444444,2.17,5,80
588,17,c,6,ERL,2,ERL1,G,113,20.33,10,10.432,31.9172,62,9,6.88888888888889,2.83,5,72
589,17,he,1,SSH,15,SSH6,G,113,31.00,9,17.605,44.7435,78,9,8.66666666666667,2.55,5,74
590,17,he,2,SCH,11,SCH17,G,121,26.00,9,20.622,57.3953,105,11,9.54545454545454,3.20,5,69
591,17,he,3,ERH,1,ERH17,F,113,30.00,11,22.471,49.9382,n/a,n/a,n/a,n/a,4.8,73
592,17,he,4,ERH,1,ERH10,F,113,29.67,6,16.72,62.9485,n/a,n/a,n/a,n/a,4.6,41
593,17,he,5,SCH,11,SCH8,F,121,34.00,11,21.531,45.5126,n/a,n/a,n/a,n/a,4,79
594,17,he,6,SCH,11,SCH19,G,113,19.00,9,9.936,33.7355,n/a,n/a,n/a,n/a,4.6,60
595,17,he,1,SHL,13,SHL12,G,113,31.67,11,16.72,45.2527,69,10,6.9,2.60,5,71
596,17,he,2,SHL2,14,SHL218,F,121,30.33,10,10.205,47.4409,85,11,7.72727272727273,2.35,5,81
597,17,he,3,ERL,2,ERL1,G,121,28.00,10,18.598,50.1385,70,7,10,2.63,5,n/a
598,17,he,4,MHL,5,MHL8,F,105,23.00,12,9.1,50.5565,100,10,10,2.04,5,n/a
599,17,he,5,SHL2,14,SHL21,F,121,27.33,8,23.085,47.1704,n/a,n/a,n/a,n/a,4.8,77
600,17,he,6,MHL,5,MHL11,F,105,17.83,6,10.309,36.2987,n/a,n/a,n/a,n/a,5,63
601,17,ho,1,SCH,11,SCH8,F,121,37.00,10,23.603,36.8472,n/a,n/a,n/a,n/a,4.2,63
602,17,ho,2,SCH,11,SCH17,G,113,34.67,12,22.083,41.8291,n/a,n/a,n/a,n/a,4.8,72
603,17,ho,3,SSH,15,SSH6,G,105,30.00,8,13.866,35.9898,78,8,9.75,1.63,5,66
604,17,ho,4,ERH,1,ERH10,F,113,30.00,8,17.177,48.6483,n/a,n/a,n/a,n/a,n/a,n/a
605,17,ho,5,ERH,1,ERH17,F,113,27.67,6,20.951,41.5079,n/a,n/a,n/a,2.31,5,86
606,17,ho,6,SCH,11,SCH19,G,105,24.83,7,9.972,37.5721,76,9,8.44444444444444,1.94,4.8,92
607,17,ho,1,ERL,2,ERL1,G,121,30.00,11,14.629,41.4505,n/a,n/a,n/a,2.57,5,59
